topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,civilnet,broadcast,twitter,reproduce,display,публицистом,հարակից,պողոսյանի,воина,автохтонных
1,copyright,follow,foundation,также,երեկոյան,ներկայությամբ,председатель,переговорах,воина,лезгины
2,medium,editorial,publish,transmit,лезгины,заявления,воина,наша,twitter,watch
3,copy,report,trademark,alter,policy,notice,accordance,civilnet,question,развития
4,find,belong,material,watch,լռելյայն,քանի,воина,наша,автохтонных,не
5,content,remove,prior,distribute,respond,consent,journalist,талыши,վահրամ,заявления
