topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,twitter,medium,live,follow,social,website,subscribe,stream,nation,podcast
1,news,watch,television,cable,channel,today,break,hour,political,number
2,business,time,show,follow,network,watch,full,year,episode,live
3,border,government,make,law,fair,learn,link,independent,state,provide
4,people,call,black,man,police,woman,officer,child,white,attack
5,trump,visit,president,campaign,election,democratic,question,vote,debate,call
6,news,country,source,watch,trust,television,cable,report,special,accord
7,video,support,medium,subscribe,order,story,book,content,shirt,patreon
