topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,news,cable,political,television,break,channel,today,report,hour,number
1,video,order,subscribe,book,content,shirt,support,trump,story,click
2,people,nation,black,woman,podcast,call,man,leave,talk,child
3,border,government,state,plan,pay,military,company,deal,wall,decision
4,medium,twitter,social,follow,support,website,visit,subscribe,youtube,online
5,news,country,source,trust,cable,television,watch,report,special,accord
6,trump,live,day,stream,late,make,president,campaign,election,democratic
7,police,officer,event,attack,release,call,kill,shoot,charge,case
8,business,show,watch,network,full,follow,episode,year,deliver,home
9,time,people,report,give,world,make,subscribe,find,read,break
