topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,medium,video,follow,twitter,support,subscribe,social,order,youtube,book
1,people,call,black,man,police,woman,life,talk,attack,officer
2,report,nation,facebook,podcast,visit,website,official,sign,page,twitter
3,news,watch,business,network,show,full,break,deliver,episode,political
4,trump,live,day,follow,make,stream,late,president,border,campaign
5,news,cable,country,television,source,trust,night,accord,program,top
6,time,video,make,people,world,give,learn,find,work,law
