topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,war,face,talk,end,government,sanction,economic,company,country,continue
1,twitter,follow,online,watch,area,find,join,report,discuss,explain
2,news,support,subscribe,video,work,donate,page,member,question,comment
3,support,visit,story,news,podcast,website,discuss,progressive,free,twitter
4,show,news,twitter,politic,country,share,full,part,community,network
5,independent,democracy,medium,watch,radio,hour,follow,global,online,facebook
6,show,subscribe,news,time,live,follow,day,late,world,member
7,people,trump,government,make,president,american,call,order,book,power
8,attack,military,report,call,russian,force,official,israeli,claim,police
9,year,work,state,election,democratic,week,program,lead,campaign,leader
