topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,democracy,independent,medium,radio,hour,facebook,global,today,youtube,station
1,people,time,year,work,official,program,economic,month,american,business
2,support,news,story,follow,visit,political,discuss,progressive,free,twitter
3,show,news,twitter,politic,full,country,share,community,join,network
4,call,trump,attack,military,government,war,continue,russian,face,plan
5,subscribe,video,member,day,donate,live,break,make,time,work
6,follow,twitter,watch,online,area,find,report,join,late,discuss
