topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,guest,host,edit,twitter,manager,commentary,friend,main,special,producer
1,twitter,channel,article,crew,website,main,jknews,research,special,edit
2,kid,follow,merchandise,film,host,feel,commentary,crew,woman,special
3,podcast,video,previous,follow,real,case,edited,feel,submit,kid
4,kid,follow,film,news,nguyen,friend,merchandise,feel,crew,special
5,kid,follow,merchandise,commentary,film,host,feel,friend,edit,news
6,kid,follow,film,merchandise,article,news,channel,friend,crew,special
7,news,people,make,year,show,find,time,give,good,life
8,sourcefe,facebook,host,check,twitter,source,music,tumblr,story,buy
9,follow,article,kid,channel,crew,special,friend,jknews,edit,news
