topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,twitter,article,channel,crew,edit,main,website,research,special,jknews
1,kid,follow,merchandise,film,news,feel,edit,special,man,article
2,follow,sourcefe,host,facebook,twitter,check,source,music,tumblr,story
3,news,show,make,people,year,find,video,host,time,give
4,kid,follow,film,merchandise,friend,special,news,crew,feel,edit
5,real,follow,crew,channel,article,submit,friend,jknews,special,nguyen
6,follow,podcast,kid,video,previous,case,feel,edited,woman,real
7,kid,follow,merchandise,film,crew,friend,news,commentary,host,edit
8,guest,host,commentary,special,edit,manager,film,merchandise,friend,producer
