topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,year,die,day,leave,explain,lose,reveal,family,bad,run
1,man,woman,arrest,cop,call,car,child,black,catch,crash
2,attack,life,dog,break,save,give,family,world,meet,big
3,watch,daily,crime,kill,murder,woman,part,dead,accuse,wife
4,teen,death,video,fire,speak,show,charge,kid,face,case
5,trump,make,people,dramaalert,live,report,interview,full,ban,expose
6,police,time,shoot,student,boy,school,officer,shooting,fight,teacher
7,year_old,mom,find,girl,baby,miss,daughter,home,parent,son
