topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,make,call,reveal,report,happen,end,good,big,wedding,doctor
1,watch,daily,crime,kill,murder,speak,accuse,wife,husband,mother
2,time,year,death,face,interview,couple,full,bad,run,fake
3,man,police,shoot,family,people,officer,black,charge,suspect,cop
4,woman,dramaalert,child,explain,lose,expose,respond,love,react,history
5,student,part,school,dead,kid,leave,give,parent,teacher,ban
6,mom,teen,arrest,car,life,baby,show,daughter,cop,son
7,year_old,find,girl,die,boy,miss,day,dog,break,meet
8,video,catch,shooting,live,home,crash,prison,deadly,release,plane
9,trump,attack,fire,claim,case,world,story,talk,defend,real
