topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,year_old,mom,find,girl,die,baby,boy,car,miss,home
1,trump,make,black,kid,explain,fight,back,full,interview,good
2,watch,daily,crime,kill,murder,teen,death,speak,daughter,accuse
3,video,attack,family,school,shooting,reveal,crash,call,meet,gun
4,woman,man,police,shoot,arrest,dramaalert,dead,officer,cop,leave
5,year,part,life,woman,break,face,report,happen,victim,prison
6,time,student,fire,people,give,lose,teacher,hit,steal,debate
